gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4923279017				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC923018	craig wilson						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""F1"",""microphone"":""SGH-6""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC923018	XC923018		craig wilson					Indeterminate				call						PRESENT	field recording																						2024-07-23	16:00	205	205	2024	7	23	2024-07-23						Hidden in tall tree in urban setting.; animal seen:no; playback used:no					ASIA				IN				Guindy Race Course (near  Chennai), Tamil Nadu		30 m							13.0058	80.22																																																		Eudynamys scolopaceus scolopaceus							Animalia|CUCULIFORMES|Cuculidae	Animalia	Chordata	Aves	Cuculiformes		Cuculidae				Eudynamys	Eudynamys			scolopaceus	scolopaceus		SUBSPECIES		Asian Koel	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:57:01.159Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	7191232	7191232	1	44	212	1492	9309	2496346		2496347	Eudynamys scolopaceus	Eudynamys scolopaceus scolopaceus	Eudynamys scolopaceus scolopaceus		DWC_ARCHIVE	2025-06-12T13:57:01.159Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.3_1	Mambalam Gundy	
4524633535				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC862574	Meenakshi						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""iPhone 14plus""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC862574	XC862574		Meenakshi					Indeterminate				call, Squirrel, Crow, Vehicle noise						PRESENT	in the hand					has background sounds: Crow, Squirrel, Myna																	2024-01-18	14:00	18	18	2024	1	18	2024-01-18						It is Indian parrot . Fortunately or unfortunately i heard today continuous sound of parrot. So i went to my terrace and started observing and recording. It was mid afternoon around 2 pm. The bird was spotted sitting in one tree branch and started calling. It went on about more than 30 min. In-between it moved to other branch. But no other companion parrots are spotted. But spotted other birds like crow, eagle at high altitude . Please provide option to attach video recording. It is my first time uploading recording. Sorry for any mistakes; animal seen:yes; playback used:no					ASIA				IN				Chennai, Tamil Nadu		30 m							13.0519	80.255																																									identification questioned									Forpus passerinus (Linnaeus, 1758)							Animalia|PSITTACIFORMES|Psittacidae	Animalia	Chordata	Aves	Psittaciformes		Psittacidae				Forpus	Forpus			passerinus			SPECIES		Green-rumped Parrotlet	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:57:44.528Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	2479081	2479081	1	44	212	1445	9340	2479059		2479081	Forpus passerinus	Forpus passerinus (Linnaeus, 1758)	Forpus passerinus		DWC_ARCHIVE	2025-06-12T13:57:44.528Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.1_1	Egmore Nungabakkam	LC
4508376862				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC859345	Subramanian Sankar						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Samsung Galaxy A54""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC859345	XC859345		Subramanian Sankar					Indeterminate				subsong						PRESENT	in the hand					has background sounds: Corvus splendens																	2024-01-03	13:41	3	3	2024	1	3	2024-01-04						At first the bird was not seen. This is not one of the usual 2 calls of Rufous Treepie.; animal seen:yes; playback used:no					ASIA				IN				Chennai, Tamil Nadu		30 m							13.0101	80.2691																																																		Dendrocitta vagabunda vagabunda							Animalia|PASSERIFORMES|Corvidae	Animalia	Chordata	Aves	Passeriformes		Corvidae				Dendrocitta	Dendrocitta			vagabunda	vagabunda		SUBSPECIES		Rufous Treepie	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:56:10.016Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	7341825	7341825	1	44	212	729	5235	2482450		2482451	Dendrocitta vagabunda	Dendrocitta vagabunda vagabunda	Dendrocitta vagabunda vagabunda		DWC_ARCHIVE	2025-06-12T13:56:10.016Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	
4508371850				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC859347	Subramanian Sankar						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Samsung Galaxy A54""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC859347	XC859347		Subramanian Sankar					Indeterminate				subsong, call						PRESENT	field recording																						2024-01-04	12:36	4	4	2024	1	4	2024-01-04						Another unusual call of Rufous Treepie; animal seen:yes; playback used:no					ASIA				IN				Chennai, Tamil Nadu		30 m							13.0101	80.2691																																																		Dendrocitta vagabunda vagabunda							Animalia|PASSERIFORMES|Corvidae	Animalia	Chordata	Aves	Passeriformes		Corvidae				Dendrocitta	Dendrocitta			vagabunda	vagabunda		SUBSPECIES		Rufous Treepie	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:57:45.129Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	7341825	7341825	1	44	212	729	5235	2482450		2482451	Dendrocitta vagabunda	Dendrocitta vagabunda vagabunda	Dendrocitta vagabunda vagabunda		DWC_ARCHIVE	2025-06-12T13:57:45.129Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	
4062433427				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC779580	Vivek Puliyeri						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Smartphone""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC779580	XC779580		Vivek Puliyeri									call						PRESENT	field recording					has background sounds: Pycnonotus luteolus|Orthotomus sutorius|Corvus splendens																	2023-02-04	07:13	35	35	2023	2	4	2023-02-04						animal seen:yes; playback used:no					ASIA				IN				IIT Madras, Chennai, Tamil Nadu		0 m							12.9912	80.2363																																																		Ocyceros birostris (Scopoli, 1786)							Animalia|BUCEROTIFORMES|Bucerotidae	Animalia	Chordata	Aves	Bucerotiformes		Bucerotidae				Ocyceros	Ocyceros			birostris			SPECIES		Indian Grey Hornbill	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:57:41.389Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	2475923	2475923	1	44	212	716	9720	2475922		2475923	Ocyceros birostris	Ocyceros birostris (Scopoli, 1786)	Ocyceros birostris		DWC_ARCHIVE	2025-06-12T13:57:41.389Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	LC
4062428430				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC779582	Vivek Puliyeri						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Smartphone""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC779582	XC779582		Vivek Puliyeri									call						PRESENT	field recording					has background sounds: Acridotheres tristis|Spilopelia chinensis|Corvus splendens|Leptocoma zeylonica|Psittacula krameri																	2023-02-04	07:30	35	35	2023	2	4	2023-02-04						animal seen:yes; playback used:no					ASIA				IN				IIT Madras, Chennai, Tamil Nadu		0 m							12.9912	80.2363																																																		Dendrocitta vagabunda (Latham, 1790)							Animalia|PASSERIFORMES|Corvidae	Animalia	Chordata	Aves	Passeriformes		Corvidae				Dendrocitta	Dendrocitta			vagabunda			SPECIES		Rufous Treepie	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:55:02.702Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	2482451	2482451	1	44	212	729	5235	2482450		2482451	Dendrocitta vagabunda	Dendrocitta vagabunda (Latham, 1790)	Dendrocitta vagabunda		DWC_ARCHIVE	2025-06-12T13:55:02.702Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	LC
4062428429				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC779579	Vivek Puliyeri						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Smartphone""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC779579	XC779579		Vivek Puliyeri									call						PRESENT	field recording																						2023-02-04	07:30	35	35	2023	2	4	2023-02-04						animal seen:yes; playback used:no					ASIA				IN				IIT Madras, Chennai, Tamil Nadu		0 m							12.9912	80.2363																																																		Orthotomus sutorius (Pennant, 1769)							Animalia|PASSERIFORMES|Cisticolidae	Animalia	Chordata	Aves	Passeriformes		Cisticolidae				Orthotomus	Orthotomus			sutorius			SPECIES		Common Tailorbird	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:56:56.230Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	2493028	2493028	1	44	212	729	9293	2493023		2493028	Orthotomus sutorius	Orthotomus sutorius (Pennant, 1769)	Orthotomus sutorius		DWC_ARCHIVE	2025-06-12T13:56:56.230Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	LC
4062427431				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC779583	Vivek Puliyeri						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Smartphone""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC779583	XC779583		Vivek Puliyeri									call						PRESENT	field recording					has background sounds: Acridotheres tristis|Orthotomus sutorius|Corvus splendens|Leptocoma zeylonica|Dendrocitta vagabunda																	2023-02-04	07:30	35	35	2023	2	4	2023-02-04						animal seen:yes; playback used:no					ASIA				IN				IIT Madras, Chennai, Tamil Nadu		0 m							12.9912	80.2363																																																		Spilopelia chinensis (Scopoli, 1786)							Animalia|COLUMBIFORMES|Columbidae	Animalia	Chordata	Aves	Columbiformes		Columbidae				Spilopelia	Spilopelia			chinensis			SPECIES		Spotted Dove	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:56:02.688Z						CONTINENT_DERIVED_FROM_COORDINATES	Sound;StillImage	true	false	6101224	6101224	1	44	212	1446	5233	4848012		6101224	Spilopelia chinensis	Spilopelia chinensis (Scopoli, 1786)	Spilopelia chinensis		DWC_ARCHIVE	2025-06-12T13:56:02.688Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE	IND	India	IND.31_1	Tamil Nadu	IND.31.2_1	Chennai	IND.31.2.4_1	Mylapore Tiruvallikk	LC
4018717610				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC769897	Sreekumar Chirukandoth						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Boya II"",""microphone"":""LAVA ZX""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC769897	XC769897		Sreekumar Chirukandoth					Indeterminate	Adult			song, call, flight call, Tapping of beak						PRESENT	in the hand					has background sounds: Corvus splendens																	2022-02-13	08:00	44	44	2022	2	13	2022-02-13						Details in https://ebird.org/checklist/S102545554; animal seen:yes; playback used:no					ASIA				IN				Kancheepuram (near  Thiruvidanthai), Tamil Nadu		0 m							12.784	80.2362																																																		Hydroprogne caspia (Pallas, 1770)							Animalia|CHARADRIIFORMES|Laridae	Animalia	Chordata	Aves	Charadriiformes		Laridae				Hydroprogne	Hydroprogne			caspia			SPECIES		Caspian Tern	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:56:52.672Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	2481236	2481236	1	44	212	7192402	9316	2481219		2481236	Hydroprogne caspia	Hydroprogne caspia (Pallas, 1770)	Hydroprogne caspia		DWC_ARCHIVE	2025-06-12T13:56:52.672Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE									LC
4018717609				CC_BY_NC_4_0			https://data.biodiversitydata.nl/xeno-canto/observation/XC769886	Sreekumar Chirukandoth						Wildlife sounds - Birds			HUMAN_OBSERVATION			"{""recordingDevice"":""Boya II"",""microphone"":""LAVA ZX""}"	https://data.biodiversitydata.nl/xeno-canto/observation/XC769886	XC769886		Sreekumar Chirukandoth						Adult			song, call						PRESENT	in the hand					has background sounds: Egretta garzetta|Hydroprogne caspia|Corvus macrorhynchos																	2022-02-13	08:00	44	44	2022	2	13	2022-02-13						Details in https://ebird.org/checklist/S102545554; animal seen:yes; playback used:no					ASIA				IN				Kancheepuram (near  Thiruvidanthai), Tamil Nadu		0 m							12.784	80.2362																																																		Chroicocephalus brunnicephalus (Jerdon, 1840)							Animalia|CHARADRIIFORMES|Laridae	Animalia	Chordata	Aves	Charadriiformes		Laridae				Chroicocephalus	Chroicocephalus			brunnicephalus			SPECIES		Brown-headed Gull	ICZN	ACCEPTED			b1047888-ae52-4179-9dd5-5448ea342a24	NL	2025-06-12T13:56:56.301Z						CONTINENT_DERIVED_FROM_COORDINATES	StillImage;Sound	true	false	6065809	6065809	1	44	212	7192402	9316	4848452		6065809	Chroicocephalus brunnicephalus	Chroicocephalus brunnicephalus (Jerdon, 1840)	Chroicocephalus brunnicephalus		DWC_ARCHIVE	2025-06-12T13:56:56.301Z	2025-06-12T13:29:26.991Z	true			false	ASIA	EUROPE									NE
